mu_list,td_list,n_list,idx,m1,m2,a1,a2,Dl_s,z_merge,duration_time,Mean_SNR,z_lens_sbh,z_lens_hh,Signal_1,Signal_2,Signal_3,Signal_4,Signal_5
"[2.07159, -0.445068, 0.160891]","[0.0, 709689.3, 710569.8]","[0.0,0.5,1.0]",2558,174460.0,5002.52,0.661684,0.831896,194217.46258485207,17.1582,178.8997332615941,49.45652556919353,-1.0,0.466,80.9267904400834,0.0,0.0,0.0,0.0
"[-0.283379, 2.1123, 0.000112213]","[10446330.0, 0.0, 12715020.0]","[0.5,0.0,1.0]",634,19015.6,9472.43,-0.611854,-0.801441,87701.1049718384,8.46703,1391.0351502078338,59.69390233823945,-1.0,0.485,92.396273256658,0.0,0.0,0.0,0.0
"[14.5574, -0.178588]","[0.0, 28203980.0]","[0.0,0.5]",209,13987.7,5416.79,-0.553946,-0.0229336,145227.14949323414,13.2208,1476.7852488385663,35.80902867998029,-1.0,1.085,137.46184558769525,0.0,0.0,0.0,0.0
"[2.40096, -1.95526, 0.000148091]","[0.0, 224310.1, 360788.3]","[0.0,0.5,1.0]",4332,29449.2,1111.87,0.920764,-0.712759,115503.58816636086,10.7876,5435.807172551822,27.195838581126424,-1.0,1.663,56.76292138454644,0.0,0.0,0.0,0.0
"[-0.862785, 1.47577, 0.000162029]","[3928314.0, 0.0, 5100337.0]","[0.5,0.0,1.0]",1710,28402.9,15148.3,0.316706,0.0789745,154415.08502387343,13.9653,312.7309488456749,75.9518977005139,-1.0,2.302,116.15220757921587,0.0,0.0,0.0,0.0
"[-2.28541, 2.01246, 0.000331306]","[1426692.0, 0.0, 2421959.0]","[0.5,0.0,1.0]",4431,130736.0,14481.5,0.820816,0.519944,183809.40762900573,16.3278,83.12394376297678,124.9576970474556,-1.0,0.163,259.0635953710667,0.0,0.0,0.0,0.0
"[2.22283, -0.397485, 0.0044997]","[0.0, 65546760.0, 66586570.0]","[0.0,0.5,1.0]",3764,107371.0,14580.1,0.983069,-0.983722,172990.4582494865,15.4614,103.33156658542192,131.0363554936039,-1.0,0.802,195.36417617722853,83.08001521596933,0.0,0.0,0.0
"[1.7412, -0.455245, 2.12918e-05]","[0.0, 7112086.0, 9289711.0]","[0.0,0.5,1.0]",2215,252296.0,1100.0,-0.945712,-0.98286,43867.11037893648,4.65737,4411.683228689802,13.774376174379013,-1.0,0.825,20.41428674179129,0.0,0.0,0.0,0.0
"[1.99876, -0.22808, 0.00390133]","[0.0, 7246731.0, 7341081.0]","[0.0,0.5,1.0]",851,6217.3,4332.49,-0.141958,-0.676084,65043.29523389944,6.52896,9785.03569353851,35.345468785879206,1.016,1.016,52.79081331263663,0.0,0.0,0.0,0.0
"[3.24994, 0.0020006, -0.068569]","[0.0, 77925310.0, 77459280.0]","[0.0,1.0,0.5]",5871,41039.1,8874.21,-0.696089,0.163806,189126.70144945304,16.7524,290.85862581802786,42.997608238006606,-1.0,1.196,77.51432508546857,11.422288528775601,0.0,0.0,0.0
