mu_list,td_list,n_list,idx,m1,m2,a1,a2,Dl_s,z_merge,duration_time,Mean_SNR,z_lens_sbh,z_lens_hh,Signal_1,Signal_2,Signal_3,Signal_4,Signal_5
"[1.76116, 0.0115513, -0.232393]","[0.0, 61069130.0, 60975370.0]","[0.0,1.0,0.5]",4165,64870.2,18710.0,-0.839821,-0.230806,198073.1189250996,17.4651,97.04746264909546,70.2412763501631,1.713,1.713,93.21628720677411,34.692670547100896,0.0,0.0,0.0
"[2.46355, -0.505488, 1.73409e-05]","[0.0, 7022551.0, 8237956.0]","[0.0,0.5,1.0]",9308,151034.0,51128.8,0.787267,-0.651974,191298.44930754387,16.9256,21.48772467320029,230.6209974807558,1.751,1.751,361.97580012521104,163.9689895848875,0.0,0.0,0.0
"[-0.564838, 2.17674, 0.00014848]","[1064281.0, 0.0, 1297851.0]","[0.5,0.0,1.0]",1218,212794.0,50651.0,-0.73433,0.66156,172925.6552363846,15.4562,19.376569557010573,108.17221294436226,-1.0,2.107,179.11327618439478,0.0,0.0,0.0,0.0
[3.76233],[0.0],[0.0],5097,35844.2,3928.18,-0.450715,0.905897,80926.58296148862,7.89286,2207.45693826103,47.82157961572894,2.225,2.225,92.75821019407849,0.0,0.0,0.0,0.0
[4.03475],[0.0],[0.0],9824,11119.9,10498.6,-0.903478,0.37452,126795.88579101274,11.7169,1197.0688160234226,47.04776893890614,-1.0,0.607,94.50338150060439,0.0,0.0,0.0,0.0
[3.08377],[0.0],[0.0],376,232707.0,55140.4,-0.349631,0.0526589,199365.6727760558,17.5679,13.686893619317775,97.23644443999416,1.191,1.191,170.75367505176226,0.0,0.0,0.0,0.0
"[1.73208, -5.93885, 0.171472]","[0.0, 170909600.0, 172185200.0]","[0.0,0.5,1.0]",5805,36166.2,7711.65,-0.276961,0.456355,191224.44363905987,16.9197,358.1924337534219,45.28140670041466,-1.0,0.703,59.594184829882664,111.93140588985709,0.0,0.0,0.0
"[1.36561, -0.270188, 5.60758e-05]","[0.0, 6264431.0, 6938463.0]","[0.0,0.5,1.0]",6485,117210.0,65655.9,-0.98636,-0.216499,211762.48298359307,18.5518,18.044056197716028,147.9046398654729,-1.0,0.825,172.84035214980838,76.8882346163657,0.0,0.0,0.0
"[4.57639, -1.80092, 0.00935142]","[0.0, 92240.55, 119894.4]","[0.0,0.5,1.0]",8693,30336.9,21518.3,-0.199111,0.459724,99746.93607204116,9.47886,395.67342024945816,102.75657467076536,-1.0,1.171,259.68482121480343,0.0,0.0,0.0,0.0
[3.12859],[0.0],[0.0],4470,12729.0,2647.06,-0.91659,-0.958994,191317.2645967679,16.9271,2088.904122634631,20.50428677354419,2.451,2.451,36.267614738535734,0.0,0.0,0.0,0.0
"[1.94311, -0.217201, 0.000523637]","[0.0, 2654292.0, 3011736.0]","[0.0,0.5,1.0]",5097,35844.2,3928.18,-0.450715,0.905897,80926.58296148862,7.89286,2207.45693826103,47.82157961572894,-1.0,0.537,70.29665884275902,0.0,0.0,0.0,0.0
"[1.94778, -0.293115, 0.00063565]","[0.0, 6857832.0, 7402661.0]","[0.0,0.5,1.0]",2804,34955.2,6950.17,-0.39526,-0.922684,122445.9952992008,11.3597,752.1051194944732,49.245085666573495,1.308,1.308,73.72847280337912,0.0,0.0,0.0,0.0
"[3.14328, 7.87206e-05, -0.128227]","[0.0, 5843019.0, 4971448.0]","[0.0,1.0,0.5]",5987,62713.9,7310.44,-0.510357,0.337837,110526.14933909565,10.3758,543.0520727894351,51.14562880118192,-1.0,1.473,92.50978557484419,0.0,0.0,0.0,0.0
"[1.4953, -0.201919, 0.000157624]","[0.0, 16478330.0, 18169500.0]","[0.0,0.5,1.0]",704,32375.0,24287.3,-0.796358,0.484318,96974.8898167136,9.24696,351.20333062756447,104.07575610201069,-1.0,1.735,135.5934413120172,0.0,0.0,0.0,0.0
