m1,m2,a1,a2,Dl_s,z_merger,d2N_dzdt,duration_time,Mean_SNR
539.552,320.909,0.712858,0.845563,131062.2940148084,12.0517,5.091452563690956e-11,263893.6424620578,3.5817892924793773
1242.35,995.04,0.998,0.998,46651.02741073298,4.90329,7.735929664797293e-11,190714.9486476089,11.796684435737056
715.769,543.401,0.998,0.998,98750.01562660356,9.38466,2.686995644886697e-11,195221.00307637267,5.509628188940619
1136.55,561.6,0.998,0.966708,88317.443487063,8.50944,3.798989409905696e-11,152205.4975268092,6.955097158169592
421.824,419.936,0.968952,0.818183,184522.75992423657,16.3639,1.0405928497706144e-11,159116.4622895354,3.257446266873249
375882.0,25351.3,0.998,0.998,49769.20326844629,5.18174,6.352105459617208e-13,129.14320802373717,454.550082652872
491277.0,355941.0,0.998,0.998,38386.202622624645,4.15504,5.1093038364915285e-12,12.200177579403146,2095.9312955800137
1242.51,121.551,0.998,0.780341,49260.931729542914,5.13648,1.2103278969860891e-09,1240888.7176392088,4.520164006524139
5279.93,380.076,0.997208,0.942068,58280.51640937557,5.93299,6.385508743555301e-11,122447.9725570701,11.669344708616734
430.094,400.562,0.997722,0.998,66445.07723228079,6.64343,1.1033861216834551e-10,639448.6226742759,4.627593981184901
746.023,693.416,0.998,0.998,119324.47537540046,11.0895,7.231477654119721e-12,119128.76857290148,5.809840799010316
311.658,241.899,0.693339,0.324199,118196.88320857663,10.9967,4.275367403499623e-11,602121.735620139,2.674353759696334
104643.0,6059.54,0.998,0.998,4513.131029217465,0.716882,1.0509782268602368e-10,10691.712403604257,504.61178922949375
514.647,466.587,0.998,0.711549,140791.443187234,12.8444,1.091790619702311e-10,180192.79599658027,4.016582731434529
558.146,527.291,0.987421,0.997896,53773.72788389966,5.5367,2.439541751532865e-10,531110.2076276013,6.247090328938663
1348.63,695.31,0.997663,0.998,42479.21048253622,4.5276,1.0210938466944264e-10,272209.08442118834,10.893960538687695
102075.0,4006.99,0.997242,0.998,13521.519827130074,1.74884,2.55439002445872e-11,7457.707298878751,201.66265699224653
274.631,246.596,0.696021,0.668666,150768.10942095084,13.6532,3.145800694054714e-11,470722.32117201295,2.3583804580297185
