m1,m2,a1,a2,Dl_s,z_merger,d2N_dzdt,duration_time,Mean_SNR
4145.82,1100.0,-0.77511,0.018957,96985.8744187164,9.24788,5.6168489498338225e-09,27389.88110648862,14.261365479481954
225772.0,12318.0,-0.821054,-0.472729,131526.1371843345,12.1043,3.0983716194784024e-11,106.25539669975198,37.107700410767286
90821.7,81896.6,0.901704,0.956106,151194.5400772995,13.7047,3.90237527292553e-10,29.47084909193565,334.4581028859339
23914.2,20240.2,-0.0228049,0.178827,171578.8639393079,15.3481,1.2259677101049247e-09,241.01635212649276,75.37144797319358
46317.5,13330.4,-0.644322,-0.138951,145393.39940506004,13.2343,1.482301245842292e-09,263.07754938406856,63.83081196322916
162645.0,57760.6,-0.532483,0.269555,71595.78046726492,7.09495,1.4482436212885534e-09,68.46562981276816,266.8802460369169
55341.7,9739.89,-0.72782,-0.134923,181403.198368506,16.1354,1.304791279927286e-09,227.7248975715676,44.303613059648775
77845.6,70793.4,-0.0500498,0.639283,137300.13242603437,12.5758,1.1908325827539124e-09,43.23179946228191,235.6568019090637
131783.0,31488.4,0.175546,-0.262216,97740.83315555906,9.31109,6.23361328268489e-10,93.7041816101992,177.50802118665396
85090.4,7199.43,-0.936633,-0.50309,160706.2782078056,14.4733,9.83663277503092e-10,266.8291472606902,30.7915430158408
19447.6,14687.8,-0.957351,0.645709,178720.53432900613,15.9207,6.996101364053221e-09,353.9346319430086,56.00075776893368
182653.0,13238.2,0.91532,-0.131236,135917.144960278,12.463,7.070688960534942e-10,109.5096104180612,151.87661136308122
26193.4,21851.3,-0.136499,-0.940381,154243.1879055331,13.9514,9.704986323167524e-10,243.2844305655508,72.82081152081172
57359.9,1409.58,0.230759,-0.0379388,171507.86837194342,15.3424,8.526032302939289e-09,1588.0181283719564,21.47194479782243
56666.6,20813.2,-0.572511,0.166388,145978.45943931848,13.2818,6.76860998847984e-10,149.43322090871368,89.79096983287165
86635.9,9867.61,-0.93611,-0.175027,199825.9882494225,17.6045,5.988945539787876e-09,142.7362127480002,38.01270639810239
